film,prod_team,dir_team,director,camera_team,prod_manage_team,depth,download_timeout,download_slot,download_latency,year,country
Freedom,Philip Reid,"Robert 'Gotch' Cutcher,Jack Friedman,Robert Grant,Phil Heywood,Phil Judd,Tim Lloyd,Andrew Prowse",Scott Hicks,Ruth De la Lande,,3,180.0,13.33.87.143,0.15690112113952637,January 1982,"Philippines,Australia,USA,Australia"
Daughter of the Nile,"Hung-Yi Chang,Ch'en Cihyuan",Chiang-Sheng Hsin,Hsiao-Hsien Hou,,,3,180.0,13.33.87.143,0.17386293411254883,22 August 1987,"Taiwan,Italy,France,Hong Kong,Canada,USA,Sweden,Japan,Argentina,Greece,Germany,Poland,UK,USA"
Love and Lies,,,Ilya Frez,,,3,180.0,13.33.87.143,0.21980786323547363,23 March 1981,"Soviet Union,Finland,USA"
Saving Grace,Reynaldo Villalobos,"Richard Adams,Gary C. Bourgeois,Chris Carpenter,James J. Klinger,Troy Porter,Paul A. Sharpe,Peter Sutton,Don Wortham",Robert M. Young,Anselmo Parrinello,,3,180.0,13.33.87.143,0.1306171417236328,2 May 1986,"USA,Australia,Japan,Portugal,Italy,Hungary"
Glembajevi,Arsen Dedic,Juraj Breges,Antun Vrdoljak,,,3,180.0,13.33.87.143,0.13004422187805176,30 June 1988,"Yugoslavia,Hungary"
Empire State,Stephen W. Parsons,,Ron Peck,,,3,180.0,13.33.87.143,0.17618489265441895,March 1987,"UK,West Germany,USA"
Bloody Wednesday,Albert Sendrey,"Phil Adipietro,Richard Atlas Bottfeld,Charly Kohlmyer",Mark G. Gilhuis,"Maria Ola,Samuel Warren,Keith Wolfe",,3,180.0,13.33.87.143,0.19373321533203125,March 1987,"West Germany,USA"
Kalaakaar,P. Anand Rao,,P. Sambasiva Rao,,,3,180.0,13.33.87.143,0.10901999473571777,9 December 1983,India
Up Your Anchor,Ilan Rosenberg,"Benny Ben-Ishai,Naomi Golan,David Nijo",Dan Wolman,Sophie Barda,,3,180.0,13.33.87.143,0.1469271183013916,  1985,"Israel,West Germany,Japan,Mexico,Hungary"
Crónica dos Bons Malandros,"Paulo de Carvalho,Raul Ferrão,Joni Galvão,Rui Veloso",,Fernando Lopes,Mário Vasques das Neves,,3,180.0,13.33.87.143,0.1633598804473877,18 October 1984,Portugal
Voyeur,Vincent van Warmerdam,"Rob Renoult,Hans Voors",Alex van Warmerdam,"Jaap Brons,Roland Brunt,Ernst Glerum,Christian Muyser",,3,180.0,13.33.87.143,0.17781400680541992,27 February 1986,"Netherlands,Canada,Belgium,Sweden,Japan,UK,Sweden,USA,Germany,France,Netherlands,Russia,Greece"
Pierino contro tutti,Federico Zanni,"Roberto Belli,Renato Doria,Roberto Marsigli,Francesco Narducci",Marino Girolami,Maria Luisa Merci,,3,180.0,13.33.87.143,0.1661369800567627,19 September 1981,"Italy,Spain,France,Portugal,West Germany"
Compagni di scuola,"Mario Cecchi Gori,Vittorio Cecchi Gori",,Carlo Verdone,Carlo Milani,,3,180.0,13.33.87.143,0.3042330741882324,21 December 1988,"Italy,Hungary"
Voyage to Nowhere,José Luis Alcaine,"Luis Castro,Daniel Goldstein,Enrique Molinero,Jesús Peña,Ricardo Steinberg",Fernando Fernán Gómez,"Luis Castañón,Santiago Cerro",,3,180.0,13.33.87.143,0.1668999195098877,17 September 1986,"Spain,Spain,Poland,Chile"
Rubber Tarzan,Kenneth Knudsen,"Lars Heger,William Knuttel,Marie Louise Lauridsen,Søren Krag Sørensen,John Wexøe",Søren Kragh-Jacobsen,"Per Tønnes Nielsen,Anders Sørensen",,3,180.0,13.33.87.143,0.1405620574951172,16 October 1981,"Denmark,Norway,West Germany,Sweden,Italy,Finland,Hungary,Norway,Poland"
Aitbaar,Pravin Bhatt,,Mukul Anand,,,3,180.0,13.33.87.143,0.14273691177368164,,
Murderlust,James C. Lane,"Stefan Hawk,Gary Mraz",Donald M. Jones,"Darla Denzer,Deborah Ishii,David Kellner,John D. Sarviss,Susan Sprigg,Colleen Wilcher",,3,180.0,13.33.87.143,0.13366413116455078,June 1987,USA
Babu,M. Vishwanath Rai,,A.C. Trilogchander,,,3,180.0,13.33.87.143,0.13718795776367188,4 October 1985,India
The Lonely Voice of Man,,,Aleksandr Sokurov,,,3,180.0,13.33.87.143,0.22169089317321777,7 August 1987,"Switzerland,Soviet Union,West Germany,Netherlands,Hungary,Denmark,France,Russia,Taiwan,Russia,Poland,Switzerland"
Qurbani,"Biddu,Anandji Veerji Shah,Kalyanji Veerji Shah",Ravi Khanna,Feroz Khan,"Anwar,Asha Bhosle,Nazia Hasan,Indivar,Farooq Kaisser,Kanchan,Amit Kumar,Kishore Kumar,Mohammad Rafi,Manhar Udhas",,3,180.0,13.33.87.143,0.1834278106689453,20 June 1980,"India,Portugal"
Erotic Games,"Guido De Angelis,Maurizio De Angelis,Michele Zanoni",Antonio Pantano,Bruno Gaburro,"Lilli Bonolis,Marco Buricchi",,3,180.0,13.33.87.143,0.1481950283050537,4 January 1984,"Italy,France,West Germany"
Hero,"Laxmikant Shantaram Kudalkar,Pyarelal Ramprasad Sharma",,Subhash Ghai,,,3,180.0,13.33.87.143,0.18639898300170898,16 December 1983,India
Sharaabi,Bappi Lahiri,"Mangesh Desai,Gopal Sinha",Prakash Mehra,Shyam Gupte,,3,180.0,13.33.87.143,0.1264650821685791,18 May 1984,India
High Test Girls,Erwin C. Dietrich,,Erwin C. Dietrich,"Werner Koschinig,Geni Riedel,Nicolas Suter,Hans Zweifel",,3,180.0,13.33.87.143,0.09438490867614746,19 September 1980,"Switzerland,West Germany,Spain,France"
Loha,"Laxmikant Shantaram Kudalkar,Pyarelal Ramprasad Sharma","Harshwardhan Y. Mohile,Murli",Raj N. Sippy,"Abdul Rahim Hassan,Sher Khan,Salim Sheikh",,3,180.0,13.33.87.143,0.1084439754486084,23 January 1987,India
Preppies,Ian Shaw,Andrew Lassman,Chuck Vincent,"Pat Finnegan,Leslie Fletcher,Amy Krienzer",,3,180.0,13.33.87.143,0.17340612411499023,April 1984,"USA,Belgium"
Run for Your Life,Björn Json Lindh,Edmondo Gintili,Terence Young,,,3,180.0,13.33.87.143,0.149428129196167,October 1988,"Italy,West Germany"
Assault of the Killer Bimbos,Thomas L. Callaway,D.J. Ritchie,Anita Rosenberg,Fred Kennamer,,3,180.0,13.33.87.143,0.17471694946289062,6 May 1988,USA
Cobra nero,Stelvio Massi,"Giovanni Cianfriglia,Riccardo Mioni,Umberto Moschini,Angelo Ragusa,Franco Maria Salamon,Pietro Sarubbi,Claudio Zucchet,Stefano Maria Mioni",Stelvio Massi,"Lilli Bonolis,Marco Buricchi",,3,180.0,13.33.87.143,0.14591693878173828,25 October 1987,"West Germany,Italy,Japan,Portugal,South Korea"
The London Connection,"Hugh Attwooll,Godfrey A. Godar,Ron Miller,Jan Williams","Richard Hoult,Paul Tivers",Robert Clouse,"Peter Allwork,Jack Lowin,Kevin Brookner",,3,180.0,13.33.87.143,0.14792823791503906,18 March 1979,"USA,UK,Sweden,Japan,Netherlands,Portugal,Denmark,Finland,West Germany"
Jailhouse Wardress,,Ilona Kunesova,"Alain Deruelle,Jesús Franco",,,3,180.0,13.33.87.143,0.12557077407836914,June 1986,"France,Portugal"
The 13th Floor,Stephen Prime,"John Dennison,David Glasser,Graham McKinney,Tony Vaccher,John Dennison",Chris Roache,Rosalea Hood,,3,180.0,13.33.87.143,0.09814000129699707,May 1988,France
L'allenatore nel pallone,,Bruno Schiavi,Sergio Martino,Fiorella De Simone,,3,180.0,13.33.87.143,0.18659305572509766,26 October 1984,"Italy,Portugal"
Unico in the Island of Magic,,Mitsuru Kashiwabara,Moribi Murano,,,3,180.0,13.33.87.143,0.14838600158691406,16 July 1983,"Japan,USA,Japan"
Mad Move,"Tomas Tang,Dallie Yeung",Tao Chiang,Godfrey Ho,,,3,180.0,13.33.87.143,0.12328791618347168,  1988,"Spain,Hong Kong"
Party,Govind Nihalani,"Poltu,Nandita Roy,Sameer",Govind Nihalani,Uttam Patil,,3,180.0,13.33.87.143,0.194382905960083,,
Otobüs Neriman,Yavuz Yalinkiliç,,Yavuz Yalinkiliç,,,3,180.0,13.33.87.143,0.14042115211486816,  1979,Turkey
Autumn Born,Lloyd A. Simandl,,Lloyd A. Simandl,,,3,180.0,13.33.87.143,0.14378714561462402,December 1987,West Germany
Haunters of the Deep,Ed Welch,"Laurie Clarkson,Rupert Scrivener",Andrew Bogle,Iona McLeish,,3,180.0,13.33.87.143,0.16257524490356445,10 March 1984,UK
Pataal Bhairavi,Swamy V.S.R.,,K. Bapaiah,,,3,180.0,13.33.87.143,0.10890316963195801,3 May 1985,India
